entry_id,category,domain,slug,tier,label,path,generated_at
MENT-GEN-0213,mental_health,psychological,magnesium-ment-gen-0213,Bronze,AMBER,entries/psychological/magnesium-ment-gen-0213/mental_health/v1,2025-11-06T07:07:39.213866+00:00
MENT-GEN-0214,mental_health,psychological,folate-ment-gen-0214,Bronze,AMBER,entries/psychological/folate-ment-gen-0214/mental_health/v1,2025-11-06T07:07:39.291748+00:00
MENT-GEN-0215,mental_health,psychological,vitamin-b6-ment-gen-0215,Bronze,AMBER,entries/psychological/vitamin-b6-ment-gen-0215/mental_health/v1,2025-11-06T07:07:39.358562+00:00
MENT-GEN-0216,mental_health,psychological,lithium-orotate-ment-gen-0216,Bronze,AMBER,entries/psychological/lithium-orotate-ment-gen-0216/mental_health/v1,2025-11-06T07:07:39.427064+00:00
MENT-GEN-0217,mental_health,psychological,sulforaphane-ment-gen-0217,Bronze,AMBER,entries/psychological/sulforaphane-ment-gen-0217/mental_health/v1,2025-11-06T07:07:39.498299+00:00
MENT-GEN-0218,mental_health,psychological,curcumin-ment-gen-0218,Bronze,AMBER,entries/psychological/curcumin-ment-gen-0218/mental_health/v1,2025-11-06T07:07:39.568422+00:00
MENT-GEN-0219,mental_health,psychological,lavender-ment-gen-0219,Bronze,AMBER,entries/psychological/lavender-ment-gen-0219/mental_health/v1,2025-11-06T07:07:39.638382+00:00
MENT-GEN-0220,mental_health,psychological,passionflower-ment-gen-0220,Bronze,AMBER,entries/psychological/passionflower-ment-gen-0220/mental_health/v1,2025-11-06T07:07:39.714769+00:00
MENT-GEN-0221,mental_health,psychological,omega-3-ment-gen-0221,Bronze,AMBER,entries/psychological/omega-3-ment-gen-0221/mental_health/v1,2025-11-06T07:07:39.786429+00:00
MENT-GEN-0222,mental_health,psychological,sam-e-ment-gen-0222,Bronze,AMBER,entries/psychological/sam-e-ment-gen-0222/mental_health/v1,2025-11-06T07:07:39.857234+00:00
MENT-GEN-0223,mental_health,psychological,st-johns-wort-ment-gen-0223,Bronze,AMBER,entries/psychological/st-johns-wort-ment-gen-0223/mental_health/v1,2025-11-06T07:07:39.928512+00:00
MENT-GEN-0224,mental_health,psychological,saffron-ment-gen-0224,Bronze,AMBER,entries/psychological/saffron-ment-gen-0224/mental_health/v1,2025-11-06T07:07:40.001394+00:00
MENT-GEN-0225,mental_health,psychological,probiotics-ment-gen-0225,Bronze,AMBER,entries/psychological/probiotics-ment-gen-0225/mental_health/v1,2025-11-06T07:07:40.071982+00:00
MENT-GEN-0226,mental_health,psychological,vitamin-d-ment-gen-0226,Bronze,AMBER,entries/psychological/vitamin-d-ment-gen-0226/mental_health/v1,2025-11-06T07:07:40.150404+00:00
MENT-GEN-0227,mental_health,psychological,b-complex-ment-gen-0227,Bronze,AMBER,entries/psychological/b-complex-ment-gen-0227/mental_health/v1,2025-11-06T07:07:40.221971+00:00
MENT-GEN-0228,mental_health,psychological,zinc-ment-gen-0228,Bronze,AMBER,entries/psychological/zinc-ment-gen-0228/mental_health/v1,2025-11-06T07:07:40.294654+00:00
MENT-GEN-0229,mental_health,psychological,n-acetyl-cysteine-ment-gen-0229,Bronze,AMBER,entries/psychological/n-acetyl-cysteine-ment-gen-0229/mental_health/v1,2025-11-06T07:07:40.372658+00:00
MENT-GEN-0230,mental_health,psychological,inositol-ment-gen-0230,Bronze,AMBER,entries/psychological/inositol-ment-gen-0230/mental_health/v1,2025-11-06T07:07:40.441958+00:00
MENT-GEN-0231,mental_health,psychological,l-tyrosine-ment-gen-0231,Bronze,AMBER,entries/psychological/l-tyrosine-ment-gen-0231/mental_health/v1,2025-11-06T07:07:40.511183+00:00
MENT-GEN-0232,mental_health,psychological,l-tryptophan-ment-gen-0232,Bronze,AMBER,entries/psychological/l-tryptophan-ment-gen-0232/mental_health/v1,2025-11-06T07:07:40.583211+00:00
MENT-GEN-0233,mental_health,psychological,magnesium-ment-gen-0233,Bronze,AMBER,entries/psychological/magnesium-ment-gen-0233/mental_health/v1,2025-11-06T07:07:40.649861+00:00
MENT-GEN-0234,mental_health,psychological,folate-ment-gen-0234,Bronze,AMBER,entries/psychological/folate-ment-gen-0234/mental_health/v1,2025-11-06T07:07:40.723237+00:00
MENT-GEN-0235,mental_health,psychological,vitamin-b6-ment-gen-0235,Bronze,AMBER,entries/psychological/vitamin-b6-ment-gen-0235/mental_health/v1,2025-11-06T07:07:40.789471+00:00
MENT-GEN-0236,mental_health,psychological,lithium-orotate-ment-gen-0236,Bronze,AMBER,entries/psychological/lithium-orotate-ment-gen-0236/mental_health/v1,2025-11-06T07:07:40.862266+00:00
MENT-GEN-0237,mental_health,psychological,sulforaphane-ment-gen-0237,Bronze,AMBER,entries/psychological/sulforaphane-ment-gen-0237/mental_health/v1,2025-11-06T07:07:40.934646+00:00
MENT-GEN-0238,mental_health,psychological,curcumin-ment-gen-0238,Bronze,AMBER,entries/psychological/curcumin-ment-gen-0238/mental_health/v1,2025-11-06T07:07:41.004437+00:00
MENT-GEN-0239,mental_health,psychological,lavender-ment-gen-0239,Bronze,AMBER,entries/psychological/lavender-ment-gen-0239/mental_health/v1,2025-11-06T07:07:41.071892+00:00
MENT-GEN-0240,mental_health,psychological,passionflower-ment-gen-0240,Bronze,AMBER,entries/psychological/passionflower-ment-gen-0240/mental_health/v1,2025-11-06T07:07:41.139988+00:00
MENT-GEN-0241,mental_health,psychological,omega-3-ment-gen-0241,Bronze,AMBER,entries/psychological/omega-3-ment-gen-0241/mental_health/v1,2025-11-06T07:07:41.206849+00:00
MENT-GEN-0242,mental_health,psychological,sam-e-ment-gen-0242,Bronze,AMBER,entries/psychological/sam-e-ment-gen-0242/mental_health/v1,2025-11-06T07:07:41.276485+00:00
MENT-GEN-0243,mental_health,psychological,st-johns-wort-ment-gen-0243,Bronze,AMBER,entries/psychological/st-johns-wort-ment-gen-0243/mental_health/v1,2025-11-06T07:07:41.342420+00:00
MENT-GEN-0244,mental_health,psychological,saffron-ment-gen-0244,Bronze,AMBER,entries/psychological/saffron-ment-gen-0244/mental_health/v1,2025-11-06T07:07:41.417973+00:00
MENT-GEN-0245,mental_health,psychological,probiotics-ment-gen-0245,Bronze,AMBER,entries/psychological/probiotics-ment-gen-0245/mental_health/v1,2025-11-06T07:07:41.488115+00:00
MENT-GEN-0246,mental_health,psychological,vitamin-d-ment-gen-0246,Bronze,AMBER,entries/psychological/vitamin-d-ment-gen-0246/mental_health/v1,2025-11-06T07:07:41.561316+00:00
MENT-GEN-0247,mental_health,psychological,b-complex-ment-gen-0247,Bronze,AMBER,entries/psychological/b-complex-ment-gen-0247/mental_health/v1,2025-11-06T07:07:41.629208+00:00
MENT-GEN-0248,mental_health,psychological,zinc-ment-gen-0248,Bronze,AMBER,entries/psychological/zinc-ment-gen-0248/mental_health/v1,2025-11-06T07:07:41.698593+00:00
MENT-GEN-0249,mental_health,psychological,n-acetyl-cysteine-ment-gen-0249,Bronze,AMBER,entries/psychological/n-acetyl-cysteine-ment-gen-0249/mental_health/v1,2025-11-06T07:07:41.770973+00:00
MENT-GEN-0250,mental_health,psychological,inositol-ment-gen-0250,Bronze,AMBER,entries/psychological/inositol-ment-gen-0250/mental_health/v1,2025-11-06T07:07:41.845745+00:00
MENT-GEN-0251,mental_health,psychological,l-tyrosine-ment-gen-0251,Bronze,AMBER,entries/psychological/l-tyrosine-ment-gen-0251/mental_health/v1,2025-11-06T07:07:41.923861+00:00
MENT-GEN-0252,mental_health,psychological,l-tryptophan-ment-gen-0252,Bronze,AMBER,entries/psychological/l-tryptophan-ment-gen-0252/mental_health/v1,2025-11-06T07:07:42.007216+00:00
MENT-GEN-0253,mental_health,psychological,magnesium-ment-gen-0253,Bronze,AMBER,entries/psychological/magnesium-ment-gen-0253/mental_health/v1,2025-11-06T07:07:42.080576+00:00
MENT-GEN-0254,mental_health,psychological,folate-ment-gen-0254,Bronze,AMBER,entries/psychological/folate-ment-gen-0254/mental_health/v1,2025-11-06T07:07:42.153393+00:00
MENT-GEN-0255,mental_health,psychological,vitamin-b6-ment-gen-0255,Bronze,AMBER,entries/psychological/vitamin-b6-ment-gen-0255/mental_health/v1,2025-11-06T07:07:42.235612+00:00
MENT-GEN-0256,mental_health,psychological,lithium-orotate-ment-gen-0256,Bronze,AMBER,entries/psychological/lithium-orotate-ment-gen-0256/mental_health/v1,2025-11-06T07:07:42.307332+00:00
MENT-GEN-0257,mental_health,psychological,sulforaphane-ment-gen-0257,Bronze,AMBER,entries/psychological/sulforaphane-ment-gen-0257/mental_health/v1,2025-11-06T07:07:42.381006+00:00
MENT-GEN-0258,mental_health,psychological,curcumin-ment-gen-0258,Bronze,AMBER,entries/psychological/curcumin-ment-gen-0258/mental_health/v1,2025-11-06T07:07:42.458314+00:00
MENT-GEN-0259,mental_health,psychological,lavender-ment-gen-0259,Bronze,AMBER,entries/psychological/lavender-ment-gen-0259/mental_health/v1,2025-11-06T07:07:42.527668+00:00
MENT-GEN-0260,mental_health,psychological,passionflower-ment-gen-0260,Bronze,AMBER,entries/psychological/passionflower-ment-gen-0260/mental_health/v1,2025-11-06T07:07:42.600868+00:00
MENT-GEN-0261,mental_health,psychological,omega-3-ment-gen-0261,Bronze,AMBER,entries/psychological/omega-3-ment-gen-0261/mental_health/v1,2025-11-06T07:07:42.674387+00:00
MENT-GEN-0262,mental_health,psychological,sam-e-ment-gen-0262,Bronze,AMBER,entries/psychological/sam-e-ment-gen-0262/mental_health/v1,2025-11-06T07:07:42.755296+00:00
MENT-GEN-0263,mental_health,psychological,st-johns-wort-ment-gen-0263,Bronze,AMBER,entries/psychological/st-johns-wort-ment-gen-0263/mental_health/v1,2025-11-06T07:07:42.828800+00:00
MENT-GEN-0264,mental_health,psychological,saffron-ment-gen-0264,Bronze,AMBER,entries/psychological/saffron-ment-gen-0264/mental_health/v1,2025-11-06T07:07:42.902221+00:00
MENT-GEN-0265,mental_health,psychological,probiotics-ment-gen-0265,Bronze,AMBER,entries/psychological/probiotics-ment-gen-0265/mental_health/v1,2025-11-06T07:07:42.986296+00:00
MENT-GEN-0266,mental_health,psychological,vitamin-d-ment-gen-0266,Bronze,AMBER,entries/psychological/vitamin-d-ment-gen-0266/mental_health/v1,2025-11-06T07:07:43.058622+00:00
MENT-GEN-0267,mental_health,psychological,b-complex-ment-gen-0267,Bronze,AMBER,entries/psychological/b-complex-ment-gen-0267/mental_health/v1,2025-11-06T07:07:43.137152+00:00
MENT-GEN-0268,mental_health,psychological,zinc-ment-gen-0268,Bronze,AMBER,entries/psychological/zinc-ment-gen-0268/mental_health/v1,2025-11-06T07:07:43.204890+00:00
MENT-GEN-0269,mental_health,psychological,n-acetyl-cysteine-ment-gen-0269,Bronze,AMBER,entries/psychological/n-acetyl-cysteine-ment-gen-0269/mental_health/v1,2025-11-06T07:07:43.277538+00:00
MENT-GEN-0270,mental_health,psychological,inositol-ment-gen-0270,Bronze,AMBER,entries/psychological/inositol-ment-gen-0270/mental_health/v1,2025-11-06T07:07:43.348533+00:00
MENT-GEN-0271,mental_health,psychological,l-tyrosine-ment-gen-0271,Bronze,AMBER,entries/psychological/l-tyrosine-ment-gen-0271/mental_health/v1,2025-11-06T07:07:43.438351+00:00
MENT-GEN-0272,mental_health,psychological,l-tryptophan-ment-gen-0272,Bronze,AMBER,entries/psychological/l-tryptophan-ment-gen-0272/mental_health/v1,2025-11-06T07:07:43.517737+00:00
MENT-GEN-0273,mental_health,psychological,magnesium-ment-gen-0273,Bronze,AMBER,entries/psychological/magnesium-ment-gen-0273/mental_health/v1,2025-11-06T07:07:43.606356+00:00
MENT-GEN-0274,mental_health,psychological,folate-ment-gen-0274,Bronze,AMBER,entries/psychological/folate-ment-gen-0274/mental_health/v1,2025-11-06T07:07:43.708624+00:00
MENT-GEN-0275,mental_health,psychological,vitamin-b6-ment-gen-0275,Bronze,AMBER,entries/psychological/vitamin-b6-ment-gen-0275/mental_health/v1,2025-11-06T07:07:43.793709+00:00
MENT-GEN-0276,mental_health,psychological,lithium-orotate-ment-gen-0276,Bronze,AMBER,entries/psychological/lithium-orotate-ment-gen-0276/mental_health/v1,2025-11-06T07:07:43.894589+00:00
MENT-GEN-0277,mental_health,psychological,sulforaphane-ment-gen-0277,Bronze,AMBER,entries/psychological/sulforaphane-ment-gen-0277/mental_health/v1,2025-11-06T07:07:43.987811+00:00
MENT-GEN-0278,mental_health,psychological,curcumin-ment-gen-0278,Bronze,AMBER,entries/psychological/curcumin-ment-gen-0278/mental_health/v1,2025-11-06T07:07:44.075775+00:00
MENT-GEN-0279,mental_health,psychological,lavender-ment-gen-0279,Bronze,AMBER,entries/psychological/lavender-ment-gen-0279/mental_health/v1,2025-11-06T07:07:44.170528+00:00
MENT-GEN-0280,mental_health,psychological,passionflower-ment-gen-0280,Bronze,AMBER,entries/psychological/passionflower-ment-gen-0280/mental_health/v1,2025-11-06T07:07:44.249492+00:00
MENT-GEN-0281,mental_health,psychological,omega-3-ment-gen-0281,Bronze,AMBER,entries/psychological/omega-3-ment-gen-0281/mental_health/v1,2025-11-06T07:07:44.329571+00:00
MENT-GEN-0282,mental_health,psychological,sam-e-ment-gen-0282,Bronze,AMBER,entries/psychological/sam-e-ment-gen-0282/mental_health/v1,2025-11-06T07:07:44.411378+00:00
MENT-GEN-0283,mental_health,psychological,st-johns-wort-ment-gen-0283,Bronze,AMBER,entries/psychological/st-johns-wort-ment-gen-0283/mental_health/v1,2025-11-06T07:07:44.494272+00:00
MENT-GEN-0284,mental_health,psychological,saffron-ment-gen-0284,Bronze,AMBER,entries/psychological/saffron-ment-gen-0284/mental_health/v1,2025-11-06T07:07:44.575808+00:00
MENT-GEN-0285,mental_health,psychological,probiotics-ment-gen-0285,Bronze,AMBER,entries/psychological/probiotics-ment-gen-0285/mental_health/v1,2025-11-06T07:07:44.659540+00:00
MENT-GEN-0286,mental_health,psychological,vitamin-d-ment-gen-0286,Bronze,AMBER,entries/psychological/vitamin-d-ment-gen-0286/mental_health/v1,2025-11-06T07:07:44.737616+00:00
MENT-GEN-0287,mental_health,psychological,b-complex-ment-gen-0287,Bronze,AMBER,entries/psychological/b-complex-ment-gen-0287/mental_health/v1,2025-11-06T07:07:44.819209+00:00
MENT-GEN-0288,mental_health,psychological,zinc-ment-gen-0288,Bronze,AMBER,entries/psychological/zinc-ment-gen-0288/mental_health/v1,2025-11-06T07:07:44.893889+00:00
MENT-GEN-0289,mental_health,psychological,n-acetyl-cysteine-ment-gen-0289,Bronze,AMBER,entries/psychological/n-acetyl-cysteine-ment-gen-0289/mental_health/v1,2025-11-06T07:07:44.969585+00:00
MENT-GEN-0290,mental_health,psychological,inositol-ment-gen-0290,Bronze,AMBER,entries/psychological/inositol-ment-gen-0290/mental_health/v1,2025-11-06T07:07:45.040104+00:00
MENT-GEN-0291,mental_health,psychological,l-tyrosine-ment-gen-0291,Bronze,AMBER,entries/psychological/l-tyrosine-ment-gen-0291/mental_health/v1,2025-11-06T07:07:45.121824+00:00
MENT-GEN-0292,mental_health,psychological,l-tryptophan-ment-gen-0292,Bronze,AMBER,entries/psychological/l-tryptophan-ment-gen-0292/mental_health/v1,2025-11-06T07:07:45.191372+00:00
MENT-GEN-0293,mental_health,psychological,magnesium-ment-gen-0293,Bronze,AMBER,entries/psychological/magnesium-ment-gen-0293/mental_health/v1,2025-11-06T07:07:45.259536+00:00
MENT-GEN-0294,mental_health,psychological,folate-ment-gen-0294,Bronze,AMBER,entries/psychological/folate-ment-gen-0294/mental_health/v1,2025-11-06T07:07:45.332442+00:00
MENT-GEN-0295,mental_health,psychological,vitamin-b6-ment-gen-0295,Bronze,AMBER,entries/psychological/vitamin-b6-ment-gen-0295/mental_health/v1,2025-11-06T07:07:45.408975+00:00
MENT-GEN-0296,mental_health,psychological,lithium-orotate-ment-gen-0296,Bronze,AMBER,entries/psychological/lithium-orotate-ment-gen-0296/mental_health/v1,2025-11-06T07:07:45.477776+00:00
MENT-GEN-0297,mental_health,psychological,sulforaphane-ment-gen-0297,Bronze,AMBER,entries/psychological/sulforaphane-ment-gen-0297/mental_health/v1,2025-11-06T07:07:45.552685+00:00
MENT-GEN-0298,mental_health,psychological,curcumin-ment-gen-0298,Bronze,AMBER,entries/psychological/curcumin-ment-gen-0298/mental_health/v1,2025-11-06T07:07:45.622755+00:00
MENT-GEN-0299,mental_health,psychological,lavender-ment-gen-0299,Bronze,AMBER,entries/psychological/lavender-ment-gen-0299/mental_health/v1,2025-11-06T07:07:45.701978+00:00
MENT-GEN-0300,mental_health,psychological,passionflower-ment-gen-0300,Bronze,AMBER,entries/psychological/passionflower-ment-gen-0300/mental_health/v1,2025-11-06T07:07:45.771140+00:00
